valid,late,weartime,sleep_quality,relaxation,relaxation_type,main_activity,phy_intense,fatigue,pain,ment_intense,satisfaction,mood,stress
True,False,True,2,3.0,[1],4.0,2.0,3.0,2.0,4.0,4.0,5.0,2.0
True,False,True,2,3.0,[1],2.0,3.0,2.0,2.0,2.0,4.0,5.0,2.0
True,False,True,2,3.0,[1],2.0,3.0,3.0,2.0,2.0,4.0,5.0,1.0
True,False,True,3,4.0,"[1, 6, 7]",3.0,4.0,1.0,2.0,1.0,5.0,5.0,1.0
True,False,True,3,4.0,"[1, 6, 7]",2.0,2.0,4.0,3.0,2.0,2.0,3.0,1.0
True,False,True,3,4.0,"[1, 6, 7]",3.0,3.0,1.0,2.0,1.0,4.0,4.0,1.0
True,False,True,4,5.0,"[1, 3]",3.0,3.0,1.0,1.0,1.0,5.0,5.0,1.0
True,False,True,4,5.0,"[1, 3]",2.0,2.0,3.0,2.0,1.0,4.0,5.0,1.0
True,False,True,4,5.0,"[1, 3]",2.0,2.0,2.0,2.0,1.0,4.0,5.0,1.0
True,False,True,3,3.0,[1],3.0,4.0,1.0,1.0,1.0,5.0,5.0,1.0
True,False,True,3,3.0,[1],4.0,2.0,5.0,3.0,3.0,2.0,3.0,3.0
True,False,True,3,3.0,[1],1.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0
True,False,True,4,3.0,"[1, 3]",3.0,5.0,1.0,1.0,3.0,4.0,4.0,2.0
True,False,True,4,3.0,"[1, 3]",2.0,2.0,4.0,3.0,2.0,3.0,4.0,2.0
True,False,True,4,3.0,"[1, 3]",1.0,3.0,2.0,2.0,3.0,4.0,4.0,2.0
True,False,True,4,1.0,[],1.0,3.0,2.0,1.0,2.0,3.0,5.0,2.0
True,False,True,4,1.0,[],1.0,3.0,3.0,3.0,2.0,4.0,5.0,3.0
True,False,True,4,1.0,[],1.0,2.0,4.0,2.0,2.0,4.0,5.0,1.0
True,False,True,3,2.0,[7],1.0,3.0,2.0,1.0,3.0,3.0,4.0,1.0
True,False,True,3,2.0,[7],1.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0
True,False,True,3,2.0,[7],1.0,3.0,2.0,3.0,2.0,3.0,4.0,2.0
True,False,False,2,5.0,"[3, 7]",1.0,2.0,2.0,2.0,3.0,4.0,4.0,1.0
True,False,True,2,5.0,"[3, 7]",2.0,1.0,3.0,3.0,1.0,3.0,4.0,1.0
True,False,True,2,5.0,"[3, 7]",2.0,1.0,3.0,2.0,1.0,3.0,4.0,1.0
True,False,True,4,3.0,[3],3.0,5.0,1.0,1.0,1.0,5.0,5.0,1.0
True,False,True,4,3.0,[3],1.0,2.0,2.0,3.0,3.0,5.0,4.0,1.0
True,False,False,4,3.0,[3],2.0,1.0,3.0,1.0,1.0,5.0,4.0,1.0
True,False,True,4,3.0,"[3, 5]",1.0,2.0,1.0,1.0,1.0,5.0,5.0,1.0
True,False,True,4,3.0,"[3, 5]",4.0,3.0,2.0,1.0,1.0,4.0,5.0,1.0
True,False,True,4,3.0,"[3, 5]",2.0,1.0,4.0,4.0,1.0,2.0,4.0,1.0
True,False,True,4,3.0,"[1, 3]",1.0,2.0,1.0,3.0,2.0,4.0,5.0,2.0
True,False,False,4,3.0,"[1, 3]",4.0,3.0,2.0,3.0,1.0,4.0,5.0,2.0
True,False,True,4,3.0,"[1, 3]",2.0,1.0,4.0,3.0,1.0,4.0,5.0,1.0
True,False,True,1,5.0,[3],4.0,1.0,5.0,5.0,1.0,1.0,3.0,1.0
True,False,True,1,5.0,[3],2.0,1.0,4.0,3.0,1.0,2.0,3.0,1.0
True,False,True,1,5.0,[3],2.0,1.0,2.0,1.0,1.0,3.0,4.0,1.0
True,False,True,4,4.0,[3],3.0,5.0,1.0,2.0,1.0,5.0,5.0,1.0
True,False,True,4,4.0,[3],2.0,1.0,1.0,2.0,2.0,5.0,5.0,1.0
True,False,True,4,4.0,[3],1.0,2.0,3.0,2.0,2.0,5.0,5.0,2.0
True,False,False,4,2.0,[3],3.0,3.0,1.0,1.0,2.0,5.0,5.0,1.0
True,False,True,4,2.0,[3],4.0,1.0,2.0,2.0,3.0,5.0,5.0,2.0
True,False,True,4,2.0,[3],2.0,1.0,4.0,3.0,1.0,3.0,5.0,1.0
True,False,True,4,2.0,[3],3.0,4.0,1.0,2.0,1.0,4.0,1.0,1.0
True,False,True,4,2.0,[3],4.0,1.0,2.0,2.0,3.0,4.0,1.0,1.0
True,False,True,4,2.0,[3],2.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0
True,False,True,3,3.0,[3],4.0,2.0,2.0,4.0,3.0,4.0,5.0,1.0
True,False,True,3,3.0,[3],2.0,1.0,4.0,2.0,3.0,2.0,4.0,2.0
True,False,True,3,3.0,[3],4.0,1.0,3.0,2.0,3.0,4.0,5.0,1.0
True,False,True,2,2.0,[3],4.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0
True,False,True,2,2.0,[3],4.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0
True,False,True,2,2.0,[3],1.0,2.0,4.0,2.0,2.0,3.0,3.0,1.0
True,False,True,4,3.0,[3],3.0,4.0,1.0,3.0,1.0,5.0,5.0,2.0
True,False,True,4,3.0,[3],2.0,1.0,3.0,2.0,2.0,3.0,4.0,1.0
True,False,True,4,3.0,[3],1.0,2.0,1.0,2.0,3.0,4.0,4.0,1.0
True,False,True,4,4.0,[3],1.0,3.0,1.0,2.0,2.0,4.0,4.0,2.0
True,False,True,4,4.0,[3],2.0,2.0,3.0,2.0,2.0,3.0,4.0,1.0
True,False,True,4,4.0,[3],2.0,2.0,1.0,2.0,3.0,4.0,4.0,1.0
True,False,True,5,2.0,[3],3.0,5.0,1.0,2.0,1.0,5.0,5.0,1.0
True,False,True,5,2.0,[3],1.0,3.0,3.0,3.0,3.0,3.0,5.0,1.0
True,False,True,5,2.0,[3],2.0,1.0,2.0,2.0,1.0,3.0,4.0,1.0
True,False,False,3,2.0,[3],4.0,1.0,1.0,2.0,2.0,5.0,5.0,1.0
True,False,False,3,2.0,[3],1.0,4.0,3.0,2.0,2.0,4.0,5.0,1.0
True,False,False,3,2.0,[3],1.0,3.0,3.0,3.0,2.0,4.0,5.0,1.0
